time,body0_x,body0_y,body0_z,body1_x,body1_y,body1_z,body2_x,body2_y,body2_z
71539200.00000000,-5868947933.34122086,-688518015707.20715332,1224890242906.02636719,-194056544505.39926147,54129502108.92929840,-938348659353.42724609,57001972438.74017334,570158113598.27734375,-39963663552.59750366
71625600.00000000,-5806235145.71961784,-689493638353.27978516,1226681951953.67993164,-194310680121.71530151,54283598280.12406158,-939957328225.77307129,57141555267.43459320,571022840073.15527344,-40030063727.90518951
71712000.00000000,-5743523259.14001751,-690469204750.26977539,1228473581138.98242188,-194564771389.10989380,54437766998.58383942,-941565813855.35229492,57281094648.24959564,571887437751.68542480,-40096567283.62854767
71798400.00000000,-5680812271.22966957,-691444715065.74633789,1230265130702.23266602,-194818818453.36315918,54592008006.54543304,-943174116819.87255859,57420590724.59250641,572751907059.20031738,-40163173882.35857391
71884800.00000000,-5618102179.62634373,-692420169466.52392578,1232056600882.62890625,-195072821459.51269531,54746321047.64960480,-944782237694.21606445,57560043639.13871002,573616248418.87377930,-40229883188.41116333
71971200.00000000,-5555392981.97826195,-693395568118.66711426,1233847991918.27539062,-195326780551.85876465,54900705866.93076324,-946390177050.45874023,57699453533.83670807,574480462251.73583984,-40296694867.81507874
72057600.00000000,-5492684675.94403362,-694370911187.49475098,1235639304046.18994141,-195580695873.96948242,55055162210.80671692,-947997935457.88842773,57838820549.91318512,575344548976.68750000,-40363608588.29998779
72144000.00000000,-5429977259.19258690,-695346198837.58459473,1237430537502.31005859,-195834567568.68572998,55209689827.06856537,-949605513483.02392578,57978144827.87798309,576208509010.51550293,-40430624019.28466797
72230400.00000000,-5367270729.40310287,-696321431232.77770996,1239221692521.49951172,-196088395778.12628174,55364288464.87065887,-951212911689.63281250,58117426507.52904510,577072342767.90649414,-40497740831.86525726
72316800.00000000,-5304565084.26495266,-697296608536.18298340,1241012769337.55517578,-196342180643.69271851,55518957874.72064972,-952820130638.75000000,58256665727.95732880,577936050661.46179199,-40564958698.80362701
72403200.00000000,-5241860321.47763062,-698271730910.18151855,1242803768183.21313477,-196595922306.07437134,55673697808.46964264,-954427170888.69580078,58395862627.55166626,578799633101.71142578,-40632277294.51587677
72489600.00000000,-5179156438.75069046,-699246798516.43103027,1244594689290.15576172,-196849620905.25323486,55828508019.30242157,-956034032995.09350586,58535017344.00357819,579663090497.12805176,-40699696295.06090546
72576000.00000000,-5116453433.80368233,-700221811515.86975098,1246385532889.01806641,-197103276580.50872803,55983388261.72778320,-957640717510.88757324,58674130014.31206512,580526423254.14147949,-40767215378.12908936
72662400.00000000,-5053751304.36608887,-701196770068.72143555,1248176299209.39331055,-197356889470.42257690,56138338291.56896973,-959247224986.36083984,58813200774.78831482,581389631777.15197754,-40834834223.03107452
72748800.00000000,-4991050048.17726326,-702171674334.49902344,1249966988479.84008789,-197610459712.88351440,56293357865.95413971,-960853555969.15209961,58952229761.06043243,582252716468.54443359,-40902552510.68663025
72835200.00000000,-4928349662.98636627,-703146524472.00915527,1251757600927.88867188,-197863987445.09204102,56448446743.30697632,-962459711004.27368164,59091217108.07806396,583115677728.70166016,-40970369923.61364746
72921600.00000000,-4865650146.55230618,-704121320639.35620117,1253548136780.04687500,-198117472803.56506348,56603604683.33735657,-964065690634.12829590,59230162950.11703491,583978515956.01831055,-41038286145.91718292
73008000.00000000,-4802951496.64367580,-705096062993.94677734,1255338596261.80615234,-198370915924.14056396,56758831447.03211212,-965671495398.52600098,59369067420.78389740,584841231546.91406250,-41106300863.27864075
73094400.00000000,-4740253711.03869438,-706070751692.49328613,1257128979597.64794922,-198624316941.98214722,56914126796.64587402,-967277125834.70141602,59507930653.02049255,585703824895.84680176,-41174413762.94502258
73180800.00000000,-4677556787.52514553,-707045386891.01867676,1258919287011.05004883,-198877675991.58364868,57069490495.69199371,-968882582477.33020020,59646752779.10842896,586566296395.32604980,-41242624533.71827698
73267200.00000000,-4614860723.90031815,-708019968744.85998535,1260709518724.49218750,-199130993206.77359009,57224922308.93354034,-970487865858.54577637,59785533930.67354584,587428646435.92578125,-41310932865.94475555
73353600.00000000,-4552165517.97094727,-708994497408.67260742,1262499674959.46215820,-199384268720.71975708,57380422002.37441254,-972092976507.95581055,59924274238.69033813,588290875406.29760742,-41379338451.50473022
73440000.00000000,-4489471167.55315590,-709968973036.43444824,1264289755936.46215820,-199637502665.93353271,57535989343.25048065,-973697914952.65844727,60062973833.48632050,589152983693.18334961,-41447840983.80200958
73526400.00000000,-4426777670.47239685,-710943395781.44958496,1266079761875.01391602,-199890695174.27435303,57691624100.02085114,-975302681717.25842285,60201632844.74638367,590014971681.42810059,-41516440157.75367737
73612800.00000000,-4364085024.56339550,-711917765796.35253906,1267869692993.66528320,-200143846376.95407104,57847326042.35918427,-976907277323.88354492,60340251401.51711273,590876839753.99267578,-41585135669.77986908
73699200.00000000,-4301393227.67009068,-712892083233.11193848,1269659549509.99584961,-200396956404.54129028,58003094941.14509583,-978511702292.20019531,60478829632.21102905,591738588291.96618652,-41653927217.79367065
73785600.00000000,-4238702277.64557981,-713866348243.03454590,1271449331640.62231445,-200650025386.96560669,58158930568.45564270,-980115957139.42932129,60617367664.61084747,592600217674.57824707,-41722814501.19108582
73872000.00000000,-4176012172.35206270,-714840560976.76916504,1273239039601.20507812,-200903053453.52194214,58314832697.55686951,-981720042380.36206055,60755865625.87367249,593461728279.21154785,-41791797220.84109497
73958400.00000000,-4113322909.66078472,-715814721584.31030273,1275028673606.45288086,-201156040732.87469482,58470801102.89544678,-983323958527.37524414,60894323642.53514862,594323120481.41406250,-41860875079.07581329
74044800.00000000,-4050634487.45198202,-716788830215.00219727,1276818233870.12963867,-201408987353.06195068,58626835560.09037018,-984927706090.44702148,61032741840.51360321,595184394654.91101074,-41930047779.68068695
74131200.00000000,-3987946903.61482620,-717762887017.54248047,1278607720605.05883789,-201661893441.49963379,58782935845.92473602,-986531285577.17199707,61171120345.11412811,596045551171.61694336,-41999315027.88483429
74217600.00000000,-3925260156.04737043,-718736892139.98583984,1280397134023.12988281,-201914759124.98562622,58939101738.33760834,-988134697492.77636719,61309459281.03265381,596906590401.64746094,-42068676530.35141754
74304000.00000000,-3862574242.65649509,-719710845729.74804688,1282186474335.30322266,-202167584529.70379639,59095333016.41590881,-989737942340.13305664,61447758772.35995483,597767512713.33142090,-42138131995.16812134
74390400.00000000,-3799889161.35785437,-720684747933.60937500,1283975741751.61645508,-202420369781.22814941,59251629460.38643646,-991341020619.77661133,61586018942.58565521,598628318473.22216797,-42207681131.83771515
74476800.00000000,-3737204910.07582235,-721658598897.71826172,1285764936481.18896484,-202673115004.52670288,59407990851.60793304,-992943932829.91809082,61724239914.60218048,599489008046.10961914,-42277323651.26866150
74563200.00000000,-3674521486.74344110,-722632398767.59521484,1287554058732.22778320,-202925820323.96557617,59564416972.56319427,-994546679466.45971680,61862421810.70867920,600349581795.03137207,-42347059265.76585388
74649600.00000000,-3611838889.30236864,-723606147688.13623047,1289343108712.03271484,-203178485863.31289673,59720907606.85128021,-996149261023.00927734,62000564752.61492920,601210040081.28430176,-42416887689.02139282
74736000.00000000,-3549157115.70282555,-724579845803.61645508,1291132086627.00219727,-203431111745.74267578,59877462539.17980194,-997751677990.89465332,62138668861.44517517,602070383264.43603516,-42486808636.10543823
74822400.00000000,-3486476163.90354490,-725553493257.69360352,1292920992682.63769531,-203683698093.83877563,60034081555.35723877,-999353930859.17846680,62276734257.74198151,602930611702.33581543,-42556821823.45718384
74908800.00000000,-3423796031.87172031,-726527090193.41174316,1294709827083.54980469,-203936245029.59863281,60190764442.28534698,-1000956020114.67199707,62414761061.47000885,603790725751.12585449,-42626926968.87583923
74995200.00000000,-3361116717.58295536,-727500636753.20471191,1296498590033.46313477,-204188752674.43716431,60347510987.95163727,-1002557946241.94934082,62552749392.01978302,604650725765.25244141,-42697123791.51174164
