time,body0_x,body0_y,body0_z,body1_x,body1_y,body1_z
47779200.00000000,154835949107.24337769,18919891399.96174240,0.00000000,-154835949107.24337769,-18919891399.96174240,0.00000000
47865600.00000000,154721104206.94314575,19865501679.04420090,0.00000000,-154721104206.94314575,-19865501679.04420090,0.00000000
47952000.00000000,154596099902.80044556,20809846646.11460876,0.00000000,-154596099902.80044556,-20809846646.11460876,0.00000000
48038400.00000000,154460944361.63555908,21752864319.91061020,0.00000000,-154460944361.63555908,-21752864319.91061020,0.00000000
48124800.00000000,154315645553.89007568,22694492690.23961258,0.00000000,-154315645553.89007568,-22694492690.23961258,0.00000000
48211200.00000000,154160211255.33630371,23634669706.25948715,0.00000000,-154160211255.33630371,-23634669706.25948715,0.00000000
48297600.00000000,153994649048.82992554,24573333264.76162720,0.00000000,-153994649048.82992554,-24573333264.76162720,0.00000000
48384000.00000000,153818966326.10675049,25510421198.45116043,0.00000000,-153818966326.10675049,-25510421198.45116043,0.00000000
48470400.00000000,153633170289.62445068,26445871264.21915436,0.00000000,-153633170289.62445068,-26445871264.21915436,0.00000000
48556800.00000000,153437267954.45062256,27379621131.40156555,0.00000000,-153437267954.45062256,-27379621131.40156555,0.00000000
48643200.00000000,153231266150.19815063,28311608370.01979065,0.00000000,-153231266150.19815063,-28311608370.01979065,0.00000000
48729600.00000000,153015171523.00930786,29241770438.99759293,0.00000000,-153015171523.00930786,-29241770438.99759293,0.00000000
48816000.00000000,152788990537.58996582,30170044674.34922409,0.00000000,-152788990537.58996582,-30170044674.34922409,0.00000000
48902400.00000000,152552729479.29531860,31096368277.33352661,0.00000000,-152552729479.29531860,-31096368277.33352661,0.00000000
48988800.00000000,152306394456.26864624,32020678302.56877136,0.00000000,-152306394456.26864624,-32020678302.56877136,0.00000000
49075200.00000000,152049991401.63504028,32942911646.10303497,0.00000000,-152049991401.63504028,-32942911646.10303497,0.00000000
